,Year,Western Champion,Result,Eastern Champion
0,1947,"Chicago Stags (1) (1, 0–1)",1–4,"Philadelphia Warriors (2) (1, 1–0)"
1,1948,"Baltimore Bullets (2) (1, 1–0)",4–2,"Philadelphia Warriors (1) (2, 1–1)"
2,1949,"Minneapolis Lakers (2) (1, 1–0)",4–2,"Washington Capitols (1) (1, 0–1)"
3,1950,"Minneapolis Lakers (1) [a] (2, 2–0)",4–2,"Syracuse Nationals (1) (1, 0–1)"
4,1951,"Rochester Royals (2) (1, 1–0)",4–3,"New York Knicks (3) (1, 0–1)"
5,1952,"Minneapolis Lakers (2) (3, 3–0)",4–3,"New York Knicks (3) (2, 0–2)"
6,1953,"Minneapolis Lakers (1) (4, 4–0)",4–1,"New York Knicks (1) (3, 0–3)"
7,1954,"Minneapolis Lakers (1) (5, 5–0)",4–3,"Syracuse Nationals (1) (3, 0–3)"
8,1955,"Fort Wayne Pistons (1) (1, 0–1)",3–4,"Syracuse Nationals (1) (3, 1–2)"
9,1956,"Fort Wayne Pistons (1) (2, 0–2)",1–4,"Philadelphia Warriors (1) (3, 2–1)"
10,1957,"St. Louis Hawks (1) (1, 0–1)",3–4,"Boston Celtics (1) (1, 1–0)"
11,1958,"St. Louis Hawks (1) (2, 1–1)",4–2,"Boston Celtics (1) (2, 1–1)"
12,1959,"Minneapolis Lakers (2) (6, 5–1)",0–4,"Boston Celtics (1) (3, 2–1)"
13,1960,"St. Louis Hawks (1) (3, 1–2)",3–4,"Boston Celtics (1) (4, 3–1)"
14,1961,"St. Louis Hawks (1) (4, 1–3)",1–4,"Boston Celtics (1) (5, 4–1)"
15,1962,"Los Angeles Lakers (1) (7, 5–2)",3–4,"Boston Celtics (1) (6, 5–1)"
16,1963,"Los Angeles Lakers (1) (8, 5–3)",2–4,"Boston Celtics (1) (7, 6–1)"
17,1964[b],"San Francisco Warriors (1) (4, 2–2)",1–4,"Boston Celtics (1) (8, 7–1)"
18,1965,"Los Angeles Lakers (1) (9, 5–4)",1–4,"Boston Celtics (1) (9, 8–1)"
19,1966,"Los Angeles Lakers (1) (10, 5–5)",3–4,"Boston Celtics (2) (10, 9–1)"
20,1967,"San Francisco Warriors (1) (5, 2–3)",2–4,"Philadelphia 76ers (1) (4, 2–2)"
